epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.552,0.89207,1.69831,1.20341,0.65148,0.62886,0.65485,0.47027,0.93621,1.25415,1.17671,0.00013874,0.00013874,0.00013874
2,652.502,0.96989,1.32664,1.26536,0.65839,0.60067,0.63908,0.45126,0.98323,1.24178,1.22767,0.000268575,0.000268575,0.000268575
3,962.178,1.01045,1.37277,1.29648,0.62761,0.54898,0.58455,0.38963,1.08409,1.3059,1.31305,0.000389235,0.000389235,0.000389235
4,1258.84,1.02535,1.3852,1.31203,0.66002,0.55078,0.60428,0.42199,1.01981,1.25636,1.26832,0.000375717,0.000375717,0.000375717
5,1563.96,0.99997,1.32736,1.29344,0.68112,0.6092,0.66276,0.47135,0.9703,1.11914,1.21758,0.000361956,0.000361956,0.000361956
6,1865.93,0.97434,1.27003,1.27562,0.70806,0.62974,0.69225,0.50258,0.93696,1.08427,1.19313,0.000348195,0.000348195,0.000348195
7,2175.11,0.956,1.22577,1.25961,0.69721,0.63788,0.69649,0.50561,0.92983,1.08376,1.18785,0.000334434,0.000334434,0.000334434
8,2475.12,0.93577,1.18042,1.24618,0.73606,0.66811,0.7387,0.54977,0.87941,0.95556,1.14473,0.000320673,0.000320673,0.000320673
9,2774.87,0.92035,1.13728,1.23785,0.74814,0.67571,0.75361,0.5656,0.86382,0.9208,1.13239,0.000306912,0.000306912,0.000306912
10,3077.02,0.90611,1.11303,1.22735,0.7772,0.6924,0.77203,0.58753,0.84565,0.86924,1.11782,0.000293151,0.000293151,0.000293151
11,3379.8,0.89112,1.07755,1.21582,0.77149,0.71533,0.78958,0.6027,0.83351,0.84641,1.10482,0.00027939,0.00027939,0.00027939
12,3681.94,0.87512,1.06009,1.20286,0.78873,0.71969,0.79786,0.61393,0.80771,0.81281,1.08088,0.000265629,0.000265629,0.000265629
13,3983.75,0.86501,1.02343,1.19611,0.79517,0.72535,0.80622,0.62359,0.79298,0.79616,1.07165,0.000251868,0.000251868,0.000251868
14,4256.21,0.85565,1.00237,1.1882,0.79939,0.74382,0.82288,0.64023,0.78246,0.75758,1.05904,0.000238107,0.000238107,0.000238107
15,4548.78,0.84194,0.98129,1.18143,0.81357,0.76036,0.83718,0.66029,0.75943,0.73899,1.04527,0.000224346,0.000224346,0.000224346
16,4907.98,0.83134,0.95265,1.17121,0.82033,0.77425,0.84766,0.67426,0.74698,0.70649,1.03007,0.000210585,0.000210585,0.000210585
17,5239.16,0.82265,0.92984,1.16384,0.8422,0.77248,0.8594,0.68823,0.73669,0.67761,1.02273,0.000196824,0.000196824,0.000196824
18,5588.32,0.81355,0.90865,1.15589,0.84445,0.78431,0.8692,0.69944,0.71612,0.662,1.00844,0.000183063,0.000183063,0.000183063
19,5959.13,0.79678,0.89083,1.14763,0.84756,0.80082,0.87724,0.70888,0.7097,0.6391,1.00325,0.000169302,0.000169302,0.000169302
20,6433.07,0.79245,0.86653,1.14506,0.86238,0.8079,0.88797,0.71943,0.69608,0.61555,0.99253,0.000155541,0.000155541,0.000155541
21,6919.56,0.75476,0.73575,1.10639,0.86864,0.81105,0.89384,0.729,0.68415,0.5994,0.98254,0.00014178,0.00014178,0.00014178
22,7325.56,0.73793,0.69885,1.09773,0.87944,0.82491,0.90468,0.74489,0.67125,0.57068,0.97048,0.000128019,0.000128019,0.000128019
23,7720.69,0.72305,0.66851,1.08039,0.8816,0.83945,0.91465,0.75646,0.65747,0.54792,0.95923,0.000114258,0.000114258,0.000114258
